Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,2301,002,14.0,6.0,7.0,9.0,8.0,6.0,4.0,1.0,3.0,,,,1.0,,,,1.0,,"Parupati, Sunil K",,,,,
ACCT,2301,003,14.0,6.0,5.0,9.0,6.0,7.0,3.0,5.0,1.0,,,,1.0,,1.0,,,,"Yayvak, Berk",,,,,
ACCT,2301,004,13.0,15.0,5.0,4.0,6.0,3.0,2.0,4.0,,2.0,1.0,,1.0,,,,2.0,,"Zhang, Yang",,,,,
ACCT,2301,005,23.0,5.0,9.0,6.0,10.0,2.0,6.0,2.0,,,,,1.0,,,,1.0,,"Files, Rebecca L","Ai, Lanru",,,,
ACCT,2301,006,16.0,8.0,5.0,4.0,10.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,6.0,,,,3.0,,"Huang, Junfan","Chen, Hangu",,,,
ACCT,2301,007,16.0,7.0,4.0,6.0,9.0,5.0,5.0,4.0,4.0,1.0,2.0,,3.0,,,,,,"Files, Rebecca L","Ai, Lanru",,,,
ACCT,2301,008,4.0,15.0,6.0,6.0,7.0,7.0,3.0,15.0,,,,,,,,,1.0,,"Huang, Ying","Zhou, Junfei",,,,
ACCT,2301,009,8.0,8.0,7.0,6.0,,12.0,11.0,2.0,6.0,3.0,,,1.0,,,,,,"Siano, Federico","Torres Juan, Bryan D",,,,
ACCT,2301,010,3.0,18.0,6.0,10.0,4.0,9.0,4.0,7.0,,,,,,,,,2.0,,"Huang, Ying","Zhou, Junfei",,,,
ACCT,2301,011,8.0,5.0,5.0,8.0,8.0,6.0,12.0,1.0,1.0,,,1.0,4.0,,,,1.0,,"Siano, Federico","Torres Juan, Bryan D",,,,
ACCT,2301,012,11.0,4.0,3.0,11.0,1.0,4.0,3.0,3.0,3.0,4.0,1.0,2.0,6.0,,,,2.0,,"Huang, Junfan","Chen, Hangu",,,,
ACCT,2301,013,5.0,4.0,2.0,14.0,9.0,9.0,5.0,1.0,3.0,4.0,2.0,2.0,,,,,,,"Siano, Federico","Torres Juan, Bryan D",,,,
ACCT,2301,501,6.0,10.0,1.0,7.0,5.0,5.0,4.0,14.0,,1.0,,,4.0,,,,1.0,,"Huang, Ying","Zhou, Junfei",,,,
