Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,2301,001,4,6,11,7,7,2,8,6,6,,4,,3,,,,3,,"Zhang, Jieying","Ozel, Naim Bugra","Gu, Dongdi","Zhang, Yang",,
ACCT,2301,002,6,9,16,7,11,1,7,4,3,,1,,,,,,2,,"Ozel, Naim Bugra","Zhang, Jieying","Gu, Dongdi","Zhang, Yang",,
ACCT,2301,003,8,11,18,6,6,,2,3,5,,3,,1,,,,4,,"Ozel, Naim Bugra","Zhang, Jieying","Gu, Dongdi","Zhang, Yang",,
ACCT,2301,004,5,3,16,11,5,4,8,8,3,,1,,2,,,,1,,"Ozel, Naim Bugra","Zhang, Jieying","Gu, Dongdi","Zhang, Yang",,
ACCT,2301,005,7,7,9,7,11,,4,4,8,,3,,3,,,,3,,"Ozel, Naim Bugra","Zhang, Jieying","Gu, Dongdi","Zhang, Yang",,
ACCT,2301,006,3,6,13,12,6,3,4,6,4,,2,,3,,,,5,,"Ozel, Naim Bugra","Zhang, Jieying","Gu, Dongdi","Zhang, Yang",,
ACCT,2301,007,7,4,8,9,2,2,3,2,,1,,,1,,,,,,"Yayvak, Berk",,,,,
ACCT,2301,501,6,7,9,3,5,3,1,1,1,1,,,2,,,,,,"Zhou, Junfei",,,,,
ACCT,2302,001,4,17,,5,10,,5,9,,1,7,,3,,,,2,,"Zolton, Kathy","Weber, Josiah C",,,,
ACCT,2302,002,4,6,6,12,10,6,5,3,5,2,2,4,1,,,,,,"Sinha, Kirti","Chen, Hangu",,,,
ACCT,2302,003,8,6,5,7,5,7,12,7,1,1,3,1,3,,,,1,,"Sinha, Kirti","Chen, Hangu",,,,
ACCT,2302,004,4,11,10,10,16,5,4,3,2,1,,,,,,,,,"Pereira Pinto, Jedson","Shivaani, MV",,,,
ACCT,2302,005,5,9,7,5,9,9,5,5,6,1,,,3,,1,,1,,"Sinha, Kirti","Chen, Hangu",,,,
ACCT,2302,006,7,8,9,5,10,6,4,4,2,2,,2,,,,,,,"Pereira Pinto, Jedson","Shivaani, MV",,,,
ACCT,2302,007,6,7,3,11,8,6,4,8,,,2,,6,,,,3,,"Dai, Zhonglan","Parupati, Sunil K",,,,
ACCT,2302,008,7,8,6,4,6,8,10,1,4,2,1,1,1,,,,,,"Pereira Pinto, Jedson","Shivaani, MV",,,,
ACCT,2302,501,4,7,8,6,8,2,3,1,,3,2,,6,,,,6,,"Janakiraman, Surya N","Ai, Lanru",,,,
ACCT,3101,PPA,,,,,,,,,,,,,,76,,,,,"Bortz, Tiffany A","Mckenzie, Dylan",,,,
ACCT,3312,001,13,14,10,16,4,1,1,,,,,,1,,,,,,"Johnson, Jennifer G","Soppannavar, Gauri C",,,,
ACCT,3322,001,,10,,2,8,3,,5,1,,,,5,,,,4,,"Goodrich, Mary Beth W","Rashmi, Richa",,,,
ACCT,3331,001,10,8,6,,4,5,6,,2,3,1,1,,,,,2,,"Zhou, Yibin","Ai, Lanru",,,,
ACCT,3331,002,8,6,3,,3,14,5,,,3,,,3,,,,2,,"Zhou, Yibin","Ai, Lanru",,,,
ACCT,3331,501,9,6,1,3,1,4,1,,,,,,,,,,1,,"Kim, Tae Wook","Liu, Ruichao",,,,
ACCT,3332,001,7,8,1,6,8,4,,9,,1,9,1,3,,,,4,,"Bortz, Tiffany A","Mckenzie, Dylan",,,,
ACCT,3332,501,,,2,1,3,4,2,2,1,1,,,4,,,,3,,"Cheng, Samuel",,,,,
ACCT,3341,001,5,4,8,7,7,4,4,5,4,,,,,,,,,,"Sadka, Gil","Wang, Xiao",,,,
ACCT,3341,002,7,13,7,4,3,5,2,4,3,,,,,,,,,,"Sadka, Gil","Wang, Xiao",,,,
ACCT,3341,501,5,3,4,5,4,6,6,7,7,,,,,,,,1,,"Sadka, Gil","Wang, Xiao",,,,
ACCT,3350,501,,9,13,8,15,5,2,6,,,,,1,,1,,,,"Frost, Sandra M","Muse, Abigail M",,,,
ACCT,3350,PPA,4,12,13,11,9,6,10,2,1,3,3,,,,,,,,"Gamino, John P",,,,,
ACCT,4301,501,3,5,6,5,3,3,5,2,2,1,,,1,,,,5,,"Hagen, John","Batchala, Shashank Prapoorna",,,,
ACCT,4334,001,,8,,,7,,1,10,,,1,,,,,,,,"Linsteadt, Chris C",,,,,
