Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,2302,5U1,1,8,,2,6,,,5,,2,3,,2,,1,,,,"Zolton, Kathy","Johnson, Jennifer G","Tazhibayev, Galymzhan",,,
ACCT,3312,5U1,6,10,9,17,5,2,2,5,3,1,,1,1,,,,,,"Johnson, Jennifer G","Tazhibayev, Galymzhan",,,,
ACCT,3331,5U1,3,1,1,2,2,5,4,2,,2,,,,,,,,,"Zhou, Yibin","Shivaani, MV",,,,
ACCT,3350,5U1,,3,7,7,10,7,3,,,,,,,,,,,,"Frost, Sandra M","Tazhibayev, Galymzhan",,,,
ACCT,4334,5U1,,4,2,2,4,2,3,1,,,,,,,,,,,"Paske, Matthew A",,,,,
ACCT,6202,0W1,,9,19,8,8,5,1,1,,,,,3,,,,,,"Janakiraman, Surya N","Ai, Lanru",,,,
ACCT,6301,5U1,,1,4,2,2,5,3,,,,,,,,,,,,"Ballew, Gregory","Kwon, Yeongmin",,,,
ACCT,6305,0W1,,2,3,3,5,2,,,,,,,,,,,,,"Janakiraman, Surya N","Ai, Lanru",,,,
ACCT,6330,0W1,,3,,,7,,,4,,,,,4,,,,,,"Cready, William M","Kwon, Yeongmin",,,,
ACCT,6338,0W1,,12,2,3,6,4,,1,,,,,1,,,,1,,"Goodrich, Mary Beth W",,,,,
ACCT,6341,0W1,,27,2,,6,,3,1,,,,,1,,,,,,"Goodrich, Mary Beth W",,,,,
ACCT,6344,0W1,,7,8,8,9,2,,,,,,,1,,,,,,"Gurun, Umit G","Shivaani, MV","Yayvak, Berk",,,
ACCT,6353,PPA,,9,13,7,8,,,,,,,,,,,,,,"Solcher, Steven J","Chen, Hangu",,,,
ACCT,6365,5U1,,1,6,7,2,2,,1,,,,,,,,,,,"Cheng, Samuel",,,,,
ACCT,6367,5U1,,25,9,6,9,2,2,,,,,,,,,,,,"Frost, Sandra M","Hanna, Dave T","Tazhibayev, Galymzhan",,,
ACCT,6374,5W1,,47,4,1,,,,,,,,,,,,,,,"Kromer, Jeffrey R","Yayvak, Berk",,,,
ACCT,6377,5U1,,50,11,5,2,,,,,,,,,,,,,,"Ballew, Gregory","Kwon, Yeongmin",,,,
ACCT,6392,5U1,,41,29,3,1,,,,,,,,,,,,,,"Hes, Christopher","Chen, Hangu",,,,
ACCT,6394,XU1,,18,,,,,,,,,,,,,,,,,"McNulty, Diane S","Hemmig, Ray",,,,
ACN,7372,0W1,,14,1,2,,,,,,,,,,,,,,,"Jahangiri, Faisal R",,,,,
AHST,2331,051,1,2,9,1,1,1,,,,,,,,,,,,,"Rosen, Mark S",,,,,
AMS,2300,051,9,7,1,,,,,,,,,,,,,,,,"Lusk, Marc L",,,,,
AMS,2300,091,5,2,3,4,,,,1,,,,,1,,,,,,"Hammonds, Kyle",,,,,
AMS,3316,0W1,13,6,2,,1,,,,,,,1,2,,,,,,"Winstead, Elizabeth L",,,,,
AMS,4379,0W2,5,3,1,,,1,,1,,,,,,,,,,,"Winstead, Elizabeth L",,,,,
ANGM,2309,0W1,1,,4,4,5,2,3,4,,,2,,2,,,,,,"Fechter, Todd A",,,,,
ANGM,2310,0W1,6,3,,3,4,2,,2,,,,,1,,,,2,,"Salter, Monika M",,,,,
ANGM,3307,0U1,1,3,8,4,,2,,2,,1,,,2,,,,1,,"McCord, Peter A",,,,,
ANGM,3308,0U1,,10,1,3,2,2,,,,,1,,4,,,,,,"Carey, Joshua S",,,,,
