Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W,instructor_id,instructor_name_normalized,title
"Curchack, Fred",,,,,,AP,3300,501,6,4,2,2,1,3,1,1,,,,,1,,,,,,0,curchack,fred curchack,Elements of Art and Performance 
"Anjum, Zafar",,,,,,ARAB,1311,001,,26,,,1,,,,,,,,,,,,,,2,zxa110730,zafar anjum,Beginning Arabic I 
"Stone, Winston","Ward, Lindsey K","Guyot, Natacha",,,,ARTS,1301,001,19,40,7,8,3,4,3,3,5,1,2,,3,,,,,,1,wxs034000,winston stone,Exploration of the Arts 
"Stone, Winston","Johnson, Ryan L","Tran, Loan T",,,,ARTS,1301,002,12,35,15,9,8,3,5,5,2,,1,,3,,,,,,1,wxs034000,winston stone,Exploration of the Arts 
"Miller, Cynthia M",,,,,,ARTS,2350,001,1,3,10,,2,,,1,,,,,2,,,,,,0,cmm016900,cynthia miller,Photography  Design Basics 
"Copeland, Colette",,,,,,ARTS,2350,002,,5,6,1,1,3,1,,,,,,,,,,,,1,cxc132230,colette copeland,Photography  Design Basics 
"Miranda, Jeffrey",,,,,,ARTS,3367,501,9,7,3,,,,,,,,,,,,,,,,0,jxm069000,jeffrey miranda,Figure Drawing 
"Chen, Bei",,,,,,CHIN,1311,001,7,3,2,1,,,1,,1,1,,,,,,,,,1,bxc152730,bei chen,Beginning Chinese I 
"Wang, Chen",,,,,,CHIN,1311,002,2,7,4,3,3,,1,1,1,,,,,,,,,,1,cxw133830,,Beginning Chinese I 
"Kimzey, Blake G",,,,,,CRWT,2301,001,,4,10,1,2,,,,,,,,,,,,,,0,bgk140130,blake kimzey,Introductory Creative Writing 
"DiNuzzo, Brian",,,,,,CRWT,2301,002,,1,4,6,,1,3,1,,,,,2,,,,,,0,bxd141330,brian dinuzzo,Introductory Creative Writing 
"Kimzey, Blake G",,,,,,CRWT,2301,501,,8,6,2,,1,,,,,,,,,,,,,0,bgk140130,blake kimzey,Introductory Creative Writing 
"Johnson, Melissa A",,,,,,DANC,1310,001,9,28,5,1,3,1,,,,,,,,,,,,,2,maj140430,melissa johnson,Understanding Dance 
"Johnson, Melissa A",,,,,,DANC,2332,001,10,5,3,,2,,,,1,,,,,,,,,,0,maj140430,melissa johnson,Modern Dance 1 
"Saba, Monica",,,,,,DANC,2334,001,4,5,,1,,1,,,,,,,1,,,,,,1,msaba,monica saba,Ballet 1 
"Petty, John E",,,,,,FILM,2332,501,2,4,17,9,10,9,6,,,,,1,3,,,,,,2,jep140330,john petty,Understanding Film 
"Fettouh, Maha K",,,,,,FREN,1311,001,,15,,,3,,,,,,,,1,,,,,,0,mkf101020,maha fettouh,Beginning French I 
"Fettouh, Maha K",,,,,,FREN,2311,001,,17,,,,,,,,,,,,,,,,,1,mkf101020,maha fettouh,Intermediate French I 
"Webb, Elena G",,,,,,GERM,1311,001,7,5,,,2,1,,,,,,,1,,,,,,1,exw034000,elena webb,Beginning German I 
"Bennett, Gina G","D'Monte, Nikita",,,,,HIST,1301,001,,8,,,14,,,5,,,3,,12,,,,,,2,ggb170030,,U S  History Survey to Civil War 
"Schulze, Jeffrey","Hirshberg, Jeffrey",,,,,HIST,1301,002,3,4,6,3,12,11,3,14,8,2,5,2,10,,,,,,3,jxs072200,jeffrey schulze,U S  History Survey to Civil War 
"Johnson, Yvonne","Ahmed, Areeba S",,,,,HIST,1301,003,,16,,,28,,,21,,,13,,9,,,,,,3,yxj172130,yvonne johnson,U S  History Survey to Civil War 
"Schulze, Jeffrey","Minich, Joseph T",,,,,HIST,1301,004,,5,9,9,12,9,2,11,3,1,5,3,15,,,,,,4,jxs072200,jeffrey schulze,U S  History Survey to Civil War 
"Stewart, Whitney","Ssali, Madiina",,,,,HIST,1301,010,4,25,17,6,13,3,5,3,2,1,3,,5,,,,,,3,wxs160630,whitney stewart,U S  History Survey to Civil War 
"Schulze, Jeffrey","Williams, Harold T",,,,,HIST,1301,005,2,4,6,11,20,11,3,10,3,1,1,,9,,,,,,6,jxs072200,jeffrey schulze,U S  History Survey to Civil War 
"Johnson, Yvonne","Jacobs, Janet K",,,,,HIST,1301,006,,11,,,30,,,20,,,19,,4,,,,,,3,yxj172130,yvonne johnson,U S  History Survey to Civil War 
"Stewart, Whitney","Davis, Lauren R",,,,,HIST,2301,501,1,19,13,5,12,2,2,,3,,1,,10,,,,,,0,wxs160630,whitney stewart,History of Texas 
"Farmer, J Michael",,,,,,HIST,3301,001,,3,4,,3,4,2,6,1,2,,,2,,,,,,0,jmf073000,michael farmer,Historical Inquiry 
"Ali, Shazia",,,,,,HUMA,1301,001,26,19,8,6,4,1,,1,1,,1,,,,,,,,0,shazia,ali shazia,Exploration of the Humanities 
"Ingrao, Peter J","Hashmi, Sarah J",,,,,HUMA,1301,002,18,7,4,11,14,3,5,2,,,,,1,,,,,,3,jingrao,peter ingrao,Exploration of the Humanities 
