Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
CRIM,1307,0U1,,1,4,2,1,,,,,1,,,,0,"Derlic, Dragana","Sanford, Stephanie M",,,,,dxd171830,dragana derlic,Introduction to Crime and Criminology 
OPRE,6398,5U1,,7,,1,1,,,,,,,,,0,"Alimirzaei, Athena","Ho, Yi-Ju",,,,,axa134231,athena alimirzaei,Prescriptive Analytics 
PHIL,3328,091,,,2,2,4,1,,,1,,,,,0,"Dennis, Patrick W",,,,,,pdennis,patrick dennis,History and Philosophy of Science and Medicine  (3 Semester Credit Hours)
RHET,1302,0S2,,1,2,6,,,1,,,,,,,0,"Johnson, Kevin W",,,,,,kwj170030,kevin johnson,
CGS,3361,0U1,,3,3,1,,1,,,1,,,1,,0,"Meltzer, Mitchell A","Sudheesh, Athul",,,,,mam089100,mitchell meltzer,Cognitive Psychology 
CLDP,3303,0U1,1,3,2,,1,2,,,1,,,,,0,"Ralph, Yvonne K","Pattisapu, Candice N",,,,,ykr140030,,Normal Language Development 
NSC,4353,1U1,1,4,1,1,,1,1,,,,,,,1,"McWilliams, Steven P","Lackovic, Jacob","Newel, Jacqueline P","Naik, Dhananjay K",,,sxm127330,steven mcwilliams,Neuroscience Laboratory Methods 
CS,1336,5U2,,2,3,1,2,1,,,,,,,1,0,"Gupta, Neeraj K","Li, Fang",,,,,nkg140130,neeraj gupta,Programming Fundamentals 
CS,4390,0U1,,1,,,1,4,1,1,2,,,,,0,"Le, Khiem V","Samiei, Aliehsan",,,,,kvl140030,khiem le,Computer Networks 
CS,6301,0U2,,10,,,,,,,,,,,,0,"Zhang, Kang","Fan, Zhenbao",,,,,kzhang,kang zhang,Special Topics in Computer Science 
ECS,3390,091,,4,1,,3,,,2,,,,,,0,"Scally, Deborah A",,,,,,das,deborah scally,Professional and Technical Communication 
EE,3111,1U1,1,4,2,,,1,,1,1,,,,,0,"Lee, Hoi","Cheng, Qi",,,,,hxl054000,hoi lee,Electronic Circuits Laboratory 
EE,3150,1U1,,4,,2,,2,,1,,,,,,1,"Kiasaleh, Kamran",,,,,,kamran,kamran kiasaleh,Communications Systems Laboratory 
EE,3350,0U1,2,,1,,,2,1,1,,,1,,1,1,"Ahmed, Shaheen","Quayum, Ayon",,,,,sxa176730,shaheen ahmed,Communications Systems 
EE,4388,0U1,2,4,4,,,,,,,,,,,0,"Bhatia, Dinesh","Goswami, Pingakshya","Nourmohamadi, Hesam",,,,dinesh,dinesh bhatia,Senior Design Project I 
EEMF,6372,5U1,,4,2,2,2,,,,,,,,,0,"Tinker, Mark T",,,,,,mtinker,mark tinker,Semiconductor Process Integration  (3 Semester Credit Hours)
MECH,6303,0U1,,6,4,,,,,,,,,,,0,"Rios, Oziel","Karami, Farzad",,,,,oxr106020,oziel rios,Computer Aided Design 
ECON,2302,5U1,5,1,,2,,1,,1,,,,,,0,"Kwak, Jihun",,,,,,jxk161430,,Principles of Microeconomics 
ECON,4334,0U1,3,2,1,2,1,,,,1,,,,,0,"Ahmadi, Maryam",,,,,,mxa143930,maryam ahmadi,Experimental Economics 
BA,1320,5U1,2,,2,1,1,,2,2,,,,,,0,"Kiser, Stephen L",,,,,,slk012100,stephen kiser,Business in a Global World  (3 Semester Credit Hours)
BUAN,6356,5U1,,7,2,1,,,,,,,,,,0,"Johnston, Walter L",,,,,,wlj031000,walter johnston,Business Analytics With R 
FIN,4310,0U1,1,,2,,,2,1,1,1,,,,1,1,"Murray, Jennifer R",,,,,,jrm160330,jennifer murray,Intermediate Financial Management 
MIS,6204,PW1,,8,,1,,,,,,,,,1,0,"Nietubicz, Richard A",,,,,,,richard nietubicz,
BIOL,2281,1U4,2,1,1,,1,1,1,3,,,,,,0,"Lin, Wen J","Tian, Jing","Buyukkahraman, Gozde","Xia, Jing","Gadhvi, Jashkaran G","Do, Hung P",wenju,wen ju lin,Introductory Biology Laboratory 
BIOL,3380,1U4,,2,1,2,,2,,,2,1,,,,0,"Pickett, Elizabeth A","Sivakolundu, Dinesh Keran",,,,,eaw016100,elizabeth pickett,Biochemistry Laboratory 
MATH,2312,0S1,3,1,,2,1,1,,1,,,,,,1,"Akbar, Mohammad M",,,,,,mma110020,mohammad akbar,
MKT,3300,5U1,,7,,,2,,,1,,,,,,0,"Bigham, Ernest P",,,,,,epb180001,ernest bigham,Principles of Marketing 
RHET,1302,0S3,2,1,6,1,1,,,,,,,,,0,"Johnson, Ryan L",,,,,,rlj160230,ryan johnson,
ATCM,4364,0U1,,10,,1,,,,,,,,,,0,"Farrar, Eric T",,,,,,etf091000,eric farrar,
PSY,4V90,0U1,7,,,2,,,,,,,,,2,0,"Helfers, Samantha",,,,,,sxh161130,,Special Topics in Psychology 
SPAU,3303,0U1,,1,2,,1,1,1,1,1,,,,2,1,"Ralph, Yvonne K","Pattisapu, Candice N",,,,,ykr140030,,Normal Language Development 
CS,1335,0U1,2,2,1,3,,1,,,1,,,1,,0,"Ghosh, Smita","Ocampo Diaz, Gerardo",,,,,sxg151930,,Computer Science I for Non-majors 
CS,2336,0U2,2,1,,,1,2,2,1,,,,1,1,0,"Feng, Ranran","Li, Xiaodi",,,,,rxf090020,ranran feng,Computer Science II 
CS,4337,0U1,,4,,1,1,,1,1,,,1,,1,1,"Davis, Chris I","Li, Xia",,,,,cid021000,chris davis,Organization of Programming Languages 
CS,4347,0U2,2,1,2,1,,2,,1,,,,,2,0,"Christiansen, Michael G","Patel, Dhruvkumar R",,,,,mgc013000,michael christiansen,Database Systems 
CS,4375,0U1,,2,2,2,,1,1,,1,,,1,1,0,"Mazidi, Karen J","Lin, Yu",,,,,kjm160430,karen mazidi,Introduction to Machine Learning 
CS,4390,0U2,,4,1,1,2,1,,,2,,,,,0,"Nguyen, Nhut","Mi, Feng",,,,,nhutnn,nhut nguyen,Computer Networks 
CS,4393,0U1,,1,3,1,1,1,1,3,,,,,,0,"Nguyen, Nhut","Chen, Simin",,,,,nhutnn,nhut nguyen,Computer and Network Security 
CS,5375,0W1,,9,1,1,,,,,,,,,,0,"Min, Richard K","Lee, Yi-Hui",,,,,rkm010300,richard min,Principles of UNIX 
ECS,3390,0U1,4,3,1,,1,1,,,,1,,,,0,"King, Carie S",,,,,,cxl085200,carie king,Professional and Technical Communication 
EE,3111,1U2,2,6,1,1,,,,,,,1,,,0,"Lee, Hoi","Liang, Jingchen",,,,,hxl054000,hoi lee,Electronic Circuits Laboratory 
EE,3320,0U2,,2,3,,4,1,1,,,,,,,0,"Shakhakarmi, Niraj","Wang, Yifan",,,,,nxs190009,,Digital Circuits 
MECH,7393,0U1,,5,4,1,,1,,,,,,,,0,"Thamban, P.L.Stephan",,,,,,stephan,p l stephan thamban,Advanced Mathematics for Mechanical Engineers II 
SE,4352,0U1,1,,3,1,,2,1,,1,1,,,,1,"Chung, Lawrence",,,,,,chung,lawrence chung,Software Architecture and Design 
FIN,3350,0U1,,5,,,2,,3,,,,,,,1,"Richards, James R",,,,,,jrr013500,james richards,Financial Markets and Institutions 
FIN,3380,0U1,,5,,2,2,,2,,,,,,,0,"Richards, James R",,,,,,jrr013500,james richards,International Financial Management 
MIS,6323,5U1,,3,,,6,,,1,,,,,1,0,"Thomas, Sunela","Tunc, Murat M",,,,,sxt167730,sunela thomas,Object Oriented Programming in Java 
OPRE,6398,5U2,,7,1,,1,,,2,,,,,,0,"Alimirzaei, Athena","Ho, Yi-Ju",,,,,axa134231,athena alimirzaei,Prescriptive Analytics 
BIOL,4366,5U1,1,3,1,3,1,1,,,1,,,,,0,"Burr, John G",,,,,,burr,john burr,Molecular Biology of Cancer 
