Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,2301,001,6,2,6,6,2,3,10,10,2,1,,,,,15,5,2,"Zhang, Jieying","Gu, Dongdi","Nathan, Brad",,,,jxz146230,jieying zhang,Introductory Financial Accounting 
ACCT,2301,002,11,5,4,9,1,1,7,7,,2,,,2,,17,3,1,"Zhang, Jieying","Gu, Dongdi",,,,,jxz146230,jieying zhang,Introductory Financial Accounting 
ACCT,2301,003,10,3,9,15,4,6,3,3,,,,,,,13,3,1,"Zhang, Jieying","Gu, Dongdi","Nathan, Brad",,,,jxz146230,jieying zhang,Introductory Financial Accounting 
ACCT,2301,004,2,12,3,6,11,8,4,3,3,1,,,,,10,4,2,"Huang, Ying","Song, Dongye",,,,,yxh124430,ying huang,Introductory Financial Accounting 
ACCT,2301,005,3,13,4,6,9,5,7,6,,,,,2,,13,1,0,"Huang, Ying","Song, Dongye",,,,,yxh124430,ying huang,Introductory Financial Accounting 
ACCT,2301,501,,8,5,9,7,6,12,6,,2,,1,,,8,2,3,"Huang, Ying","Song, Dongye","Nathan, Brad",,,,yxh124430,ying huang,Introductory Financial Accounting 
ACCT,2302,001,4,11,8,7,4,6,1,2,3,,,,,,12,6,1,"Sinha, Kirti","Kale, Devendra",,,,,kxs190050,kirti sinha,Introductory Management Accounting 
ACCT,2302,002,6,9,5,8,3,5,1,,2,1,,,,,20,3,2,"Sinha, Kirti","Kale, Devendra",,,,,kxs190050,kirti sinha,Introductory Management Accounting 
ACCT,2302,003,10,16,6,7,8,3,2,1,2,,,,,,10,,0,"Li, Meng","Chu, Yu Fang",,,,,mxl120531,meng li,Introductory Management Accounting 
ACCT,2302,004,8,10,9,5,10,1,2,7,2,,,,,,10,,0,"Li, Meng","Chu, Yu Fang",,,,,mxl120531,meng li,Introductory Management Accounting 
ACCT,2302,005,3,8,3,3,9,2,1,4,1,,1,,1,,13,2,1,"Dai, Zhonglan","Sandhu, Gurvinder",,,,,zxd051000,zhonglan dai,Introductory Management Accounting 
ACCT,2302,006,2,6,1,3,13,1,,3,1,,2,1,,,14,2,4,"Dai, Zhonglan","Sandhu, Gurvinder",,,,,zxd051000,zhonglan dai,Introductory Management Accounting 
ACCT,2302,007,1,7,3,2,7,,1,,,,,,2,,4,2,0,"Dai, Zhonglan","Sandhu, Gurvinder",,,,,zxd051000,zhonglan dai,Introductory Management Accounting 
ACCT,2302,501,1,5,11,9,11,5,5,1,2,,,,,,14,,0,"Li, Meng","Chu, Yu Fang",,,,,mxl120531,meng li,Introductory Management Accounting 
ACCT,3100,001,12,13,5,,,1,,,,,,,,,8,,0,"Moore, Sarah E","Tanabe, Takuma",,,,,sem054000,sarah moore,Professional Development 
ACCT,3100,501,6,10,6,2,2,,1,,1,,,,,,2,1,1,"Newcomb, Rebecca G",,,,,,rgn100020,rebecca newcomb,Professional Development 
ACCT,3101,PPA,,,,,,,,,,,,,,,63,,0,"Bortz, Tiffany A","Lietha, Cassidy R",,,,,tabortz,tiffany bortz,Professional Program in Accounting Lyceum 
ACCT,3200,501,18,17,2,3,4,,,,,,,,2,,1,,1,"Smallwood, James E",,,,,,jes094020,james smallwood,Introduction to Business and Professional Development 
ACCT,3322,001,1,10,3,5,8,1,,3,,,,,,,4,,0,"Goodrich, Mary Beth W","Ajayi, Olamiposi O",,,,,goodrich,mary beth goodrich,Integrated Accounting Information Systems 
ACCT,3331,001,2,6,2,4,3,2,2,11,3,1,2,,,,3,,3,"Zhou, Yibin","Li, Chenchen",,,,,yxz066000,yibin zhou,Intermediate Financial Accounting I 
ACCT,3331,002,,5,2,6,3,6,2,11,,1,4,,,,13,3,2,"Zhou, Yibin","Li, Chenchen",,,,,yxz066000,yibin zhou,Intermediate Financial Accounting I 
ACCT,3331,501,1,,2,1,3,3,2,,4,2,1,,1,,5,3,1,"Pang, Wenjin","Ajayi, Olamiposi O",,,,,wxp042000,wenjin pang,Intermediate Financial Accounting I 
ACCT,3332,001,2,3,3,3,4,2,3,13,,5,1,1,1,,19,1,3,"Bortz, Tiffany A","Pardiwalla, Arish K",,,,,tabortz,tiffany bortz,Intermediate Financial Accounting II 
ACCT,3332,501,,4,,1,6,,2,9,,,2,,2,,10,3,4,"Karnuta, Daniel","Wilson, Ravin M",,,,,dxk173030,daniel karnuta,Intermediate Financial Accounting II 
ACCT,3332,PPA,4,3,3,2,2,,,,1,,1,,,,45,9,1,"Bortz, Tiffany A","Pardiwalla, Arish K",,,,,tabortz,tiffany bortz,Intermediate Financial Accounting II 
ACCT,3341,001,,23,24,4,1,,,1,,,,,,,6,,0,"Sadka, Gil","Zhang, Yang",,,,,gxs143630,gil sadka,Cost Management Systems 
ACCT,3341,002,,14,21,3,4,,,,,,,,,,2,,0,"Sadka, Gil","Zhang, Yang","Tatiparti, Venu Madhav",,,,gxs143630,gil sadka,Cost Management Systems 
ACCT,3341,501,,12,14,7,2,5,,,,,,,2,,2,1,0,"Sadka, Gil","Zhang, Yang","Tatiparti, Venu Madhav",,,,gxs143630,gil sadka,Cost Management Systems 
ACCT,3350,001,6,4,,,1,,1,2,,,,,1,,4,2,0,"Gamino, John P",,,,,,jpg140630,john gamino,Fundamentals of Taxation 
ACCT,3350,002,2,2,2,,5,,2,,1,1,1,1,4,,9,4,0,"Gamino, John P",,,,,,jpg140630,john gamino,Fundamentals of Taxation 
