Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,2301,5U1,9,3,3,,1,2,,1,,1,,5,1,,,,1,"Gencer, Nur Pinar",,,,,,png160030,nur pinar gencer,Introductory Financial Accounting 
ACCT,2302,5U1,4,7,6,6,10,,8,3,,,,,5,,,,2,"Zolton, Kathy","He, Jiapeng",,,,,kxz121730,kathy zolton,Introductory Management Accounting 
ACCT,3331,5U1,1,2,2,3,2,1,4,3,2,,1,1,,,,,0,"Zhou, Yibin",,,,,,yxz066000,yibin zhou,Intermediate Financial Accounting I 
ACCT,3341,5U1,1,4,6,1,2,1,1,1,,,,,,,,,0,"Sandhu, Gurvinder",,,,,,gxs162530,gurvinder sandhu,Cost Management Systems 
ACCT,3350,5U1,4,2,3,1,1,,3,1,,3,,1,2,,,,0,"Gamino, John P",,,,,,jpg140630,john gamino,Fundamentals of Taxation 
ACCT,4334,5U1,,3,2,2,8,,4,4,,1,,1,,,,,0,"Hes, Christopher A","Holstead, Cameron",,,,,cah041000,christopher hess,Auditing 
ACCT,4340,0U1,7,4,3,1,1,,1,4,,1,,1,,,,,2,"Johnson, Jennifer",,,,,,jxj091000,jennifer johnson,Survey of Accounting Software 
ACCT,6194,SW1,,8,,,3,,,1,,,,,,,,,0,"Johnson, Jennifer",,,,,,jxj091000,jennifer johnson,
ACCT,6202,5U1,,7,15,13,8,8,2,3,,,,,2,,,,2,"Janakiraman, Surya","He, Jiapeng",,,,,suryaj,surya janakiraman,Managerial Accounting 
ACCT,6287,XS1,,30,,,,,,,,,,,,,,,0,"McNulty, Diane S",,,,,,dmcnulty,diane mcnulty,
ACCT,6292,SW1,,7,,,5,,,,,,,,,,,,0,"Linsteadt, Chris C",,,,,,ccl019000,chris linsteadt,
ACCT,6301,5U1,,11,8,9,13,5,3,3,,,,,4,,,,4,"Ballew, Gregory E","Nathan, Brad",,,,,geb011100,gregory ballew,Financial Accounting 
ACCT,6305,5U1,,5,6,6,,,,2,,,,,,,,,0,"Janakiraman, Surya","He, Jiapeng",,,,,suryaj,surya janakiraman,Accounting for Managers 
ACCT,6313,5U1,,4,1,4,3,3,1,1,,,,,,,,,0,"Shroff, Tejas N","Chen, Luoying",,,,,tns190000,tejas shroff,Cybersecurity Fundamentals 
ACCT,6333,5U1,,12,,,11,,,7,,,,,1,,,,2,"Zolton, Kathy","He, Jiapeng",,,,,kxz121730,kathy zolton,Advanced Financial Reporting 
ACCT,6338,5U1,,17,2,4,20,2,,2,,,,,2,,,,2,"Goodrich, Mary Beth W","Nathan, Brad",,,,,goodrich,mary beth goodrich,Accounting Systems Integration and Configuration 
ACCT,6344,0W1,,10,18,26,9,2,2,,,,,,,,,,0,"Gurun, Umit","Song, Dongye",,,,,ugg041000,umit gurun,Financial Statement Analysis 
ACCT,6365,5U1,,18,9,25,5,9,9,,,,,,,,,,0,"Cheng, Samuel",,,,,,sxc109021,samuel cheng,Governmental and Not-For-Profit Accounting 
ACCT,6367,5U1,,18,12,7,2,2,,2,,,,,,,,,0,"Gamino, John P","Frost, Sandra M",,,,,jpg140630,john gamino,Multijurisdictional Taxation 
ACCT,6373,5U1,,9,19,21,11,5,2,,,,,,1,,,,0,"Hes, Christopher A","Holstead, Cameron",,,,,cah041000,christopher hess,Advanced External Auditing 
ACCT,6384,5U1,,54,5,3,1,,,,,,,,1,,,,5,"Kromer, Jeffrey","Nathan, Brad",,,,,jrk013000,jeffrey kromer,Analytical Reviews Using Audit Software 
ACN,6338,0U1,,13,,,7,,,,,,,,,,,,1,"Sultana, Rukhsana",,,,,,rxs170431,rukhsana sultana,Functional Neuroanatomy 
ACN,6340,0U1,,7,5,1,3,1,3,1,,,,,1,,,,2,"Kroener, Sven",,,,,,sxk101000,sven kroener,Cellular Neuroscience 
ACN,6V81,0W1,,18,1,,,,,,,,,,,,,,0,"McWilliams, Steven P",,,,,,sxm127330,steven mcwilliams,Special Topics in Applied Cognition and Neuroscience 
AHST,3319,091,,1,1,1,,1,,1,2,,,,4,,,,1,"Terranova, Charissa",,,,,,cxt074100,charissa terranova,Twentieth Century European Art  Avant-Garde and Aftermath  (3 Semester Credit Hours)
AMS,2300,0W1,,11,2,3,10,1,1,,,,,,1,,,,1,"Werhnyak, Larissa",,,,,,lxw163630,larissa werhnyak,American Popular Culture 
AMS,2300,0W2,,4,3,5,6,,2,2,,1,,,4,,,,0,"Pogue, Neall W",,,,,,nxp174730,neall pogue,American Popular Culture 
AMS,2341,0W1,,2,6,5,10,,,,,,,,3,,,,2,"Naqvi, Syed K",,,,,,skn180000,syed naqvi,American Studies for the Twenty-First Century 
AMS,3316,0W1,21,5,1,,2,,,,,,,,,1,,,0,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Interpersonal Communication 
AMS,4385,0W1,11,10,3,,2,,1,2,,,,,2,,,,0,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Professional Communications in Business 
ARTS,1301,0W1,11,27,9,6,5,4,5,3,,2,2,,3,,,,2,"Grandjean, Kelly","Prakash, Arya",,,,,kxg190019,kelly grandjean,Exploration of the Arts 
ARTS,3372,551,,9,4,3,,,,,,,,,2,,,,0,"Loving, Emily",,,,,,exl097120,emily loving,Photography  Color Concepts 
ARTS,3379,591,,5,4,2,1,,1,,,,,,1,,,,1,"Loving, Emily",,,,,,exl097120,emily loving,Photography  New Media 
ATCM,2302,051,8,10,,1,2,1,,,,,1,1,2,,,,0,"Minnish, Roxanne W",,,,,,rwm061000,roxanne minnish,Design I 
ATCM,2310,0U1,9,2,1,6,3,,,1,,,,1,3,,,,1,"Salter, Monika M",,,,,,mxs176131,monika salter,Animation and Game Fundamentals 
ATCM,2321,0U1,,13,7,3,1,2,,,,,,1,1,,,,0,"Mulla, Ayesha",,,,,,axm190114,ayesha mulla,Reading Media Critically 
ATCM,2330,051,1,3,6,3,,1,1,1,,,,,,,,,1,"Nielsen, Christina R",,,,,,crn022000,christina nielsen,Digital Art and Social Practice 
ATCM,2335,0W1,,5,,,3,1,,1,,,1,1,4,,,,3,"Stewart, Michael C",,,,,,mxs128231,michael stewart,Internet Studio I 
ATCM,3301,0W1,4,2,4,3,,2,,2,,1,,,,,,,0,"Landers, Sean M",,,,,,sml160330,,Writing for ATEC 
ATCM,3301,0W2,2,3,4,,,,,1,2,,,,,,,,1,"Rheams, David C",,,,,,dcr093020,david rheams,Writing for ATEC 
