Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,2301,001,17,7,3,14,7,3,2,4,1,1,,,1,,,,,0,"Gu, Dongdi",,,,,,dxg180001,,Introductory Financial Accounting 
ACCT,2301,002,10,7,5,6,4,4,4,1,7,3,,,5,,,,,3,"Gu, Dongdi",,,,,,dxg180001,,Introductory Financial Accounting 
ACCT,2301,003,8,11,8,4,11,5,4,4,,,,,3,,,,,1,"Zhang, Yang",,,,,,yxz170631,yang zhang,Introductory Financial Accounting 
ACCT,2301,004,4,10,7,17,5,3,6,4,1,,,1,1,,,,,1,"Parupati, Sunil K",,,,,,skp190001,sunil parupati,Introductory Financial Accounting 
ACCT,2301,005,21,11,4,13,3,3,2,3,1,1,,1,,,,,,2,"Files, Rebecca L","Quinto, Christine D",,,,,rlf092000,rebecca files,Introductory Financial Accounting 
ACCT,2301,006,12,8,11,9,6,3,8,1,3,,1,1,,,,,,2,"Files, Rebecca L","Quinto, Christine D",,,,,rlf092000,rebecca files,Introductory Financial Accounting 
ACCT,2301,007,9,9,4,6,2,10,5,12,,,,,3,,,,,0,"Holst1ead, Cameron",,,,,,cxh170008,cameron holstead,Introductory Financial Accounting 
ACCT,2301,008,1,9,9,5,14,4,2,15,1,1,,,,,,,1,3,"Huang, Ying","Zhou, Junfei",,,,,yxh124430,ying huang,Introductory Financial Accounting 
ACCT,2301,009,16,4,2,7,1,5,5,3,8,3,3,3,1,,,,,4,"Siano, Federico","Gonzalez, Jacob E",,,,,fxs220013,federico siano,Introductory Financial Accounting 
ACCT,2301,010,2,7,7,9,8,2,7,15,,1,,1,2,,,,,3,"Huang, Ying","Zhou, Junfei",,,,,yxh124430,ying huang,Introductory Financial Accounting 
ACCT,2301,011,16,5,11,6,2,6,5,4,2,1,2,1,3,,,,,1,"Siano, Federico","Gonzalez, Jacob E",,,,,fxs220013,federico siano,Introductory Financial Accounting 
ACCT,2301,012,9,9,5,13,2,4,2,8,,,1,,4,,,,,3,"He, Jiapeng",,,,,,jxh176930,jiapeng he,Introductory Financial Accounting 
ACCT,2301,501,,2,3,11,17,1,3,7,3,,1,2,4,,,,,5,"Huang, Ying","Zhou, Junfei",,,,,yxh124430,ying huang,Introductory Financial Accounting 
ACCT,2301,HON,18,8,7,6,6,4,3,,1,,1,,,,,,,0,"Files, Rebecca L","Quinto, Christine D",,,,,rlf092000,rebecca files,
ACCT,2302,001,4,6,3,2,15,,5,14,,2,6,,3,,,,1,4,"Zolton, Kathy","Huang, Ziqi",,,,,kxz121730,kathy zolton,Introductory Management Accounting 
ACCT,2302,002,5,18,1,2,11,,2,6,,5,6,,5,,,,,2,"Zolton, Kathy","Huang, Ziqi",,,,,kxz121730,kathy zolton,Introductory Management Accounting 
ACCT,2302,003,12,9,8,4,6,3,8,5,2,1,2,1,3,,,,,1,"Copat, Rafael","Batitang, Mark Joseph D",,,,,rxc190027,rafael copat,Introductory Management Accounting 
ACCT,2302,004,15,10,6,3,9,4,4,2,1,2,2,,2,,,,,3,"Copat, Rafael","Batitang, Mark Joseph D",,,,,rxc190027,rafael copat,Introductory Management Accounting 
ACCT,2302,005,13,9,3,11,9,5,3,1,,2,1,1,3,,,,,2,"Copat, Rafael","Batitang, Mark Joseph D",,,,,rxc190027,rafael copat,Introductory Management Accounting 
ACCT,2302,501,4,3,,4,3,,5,4,4,,3,,4,,,,,9,"Dai, Zhonglan","Zhou, Junfei",,,,,zxd051000,zhonglan dai,Introductory Management Accounting 
ACCT,3312,001,11,13,11,6,6,1,,,,1,,,,,,,,0,"Johnson, Jennifer","Fisch, Jacob D",,,,,jxj091000,jennifer johnson,Introduction to Accounting Analytics 
ACCT,3322,001,2,11,5,2,12,2,2,4,,2,2,,3,,,,,10,"Goodrich, Mary Beth W","Batitang, Mark Joseph D",,,,,goodrich,mary beth goodrich,Integrated Accounting Information Systems 
ACCT,3331,001,15,4,10,13,2,3,1,5,,1,1,,,,,,,5,"Zhou, Yibin","Ku, Catherine M",,,,,yxz066000,yibin zhou,Intermediate Financial Accounting I 
ACCT,3331,002,16,5,4,5,8,4,2,8,,1,1,,2,,,,,3,"Zhou, Yibin","Ku, Catherine M",,,,,yxz066000,yibin zhou,Intermediate Financial Accounting I 
