Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,2301,001,1,6,3,15,8,12,11,1,,1,,,4,,,,,3,"Zhang, Jieying","Zhang, Yang",,,,,jxz146230,jieying zhang,Introductory Financial Accounting 
ACCT,2301,002,,8,9,11,9,7,12,4,,2,,,3,,,,,0,"Zhang, Jieying","Zhang, Yang",,,,,jxz146230,jieying zhang,Introductory Financial Accounting 
ACCT,2301,003,,18,4,11,8,8,10,2,,1,,,2,,,,,1,"Zhang, Jieying","Zhang, Yang",,,,,jxz146230,jieying zhang,Introductory Financial Accounting 
ACCT,2301,005,3,10,16,17,5,6,,2,1,,1,1,,,,,,3,"Ozel, Naim Bugra","Gu, Dongdi",,,,,nbo150030,naim ozel,Introductory Financial Accounting 
ACCT,2301,006,4,12,17,11,6,3,2,1,1,,2,1,1,,,,1,2,"Ozel, Naim Bugra","Gu, Dongdi",,,,,nbo150030,naim ozel,Introductory Financial Accounting 
ACCT,2301,007,10,3,14,7,5,4,,6,,,,,12,,,,,3,"Gencer, Nur Pinar",,,,,,png160030,nur pinar gencer,Introductory Financial Accounting 
ACCT,2301,501,,10,16,14,10,3,,1,,1,1,1,1,,,,,6,"Ozel, Naim Bugra","Gu, Dongdi",,,,,nbo150030,naim ozel,Introductory Financial Accounting 
ACCT,2302,001,1,6,5,6,8,6,3,3,3,2,1,2,5,,,,,8,"Goodrich, Mary Beth W","Parupati, Sunil K",,,,,goodrich,mary beth goodrich,Introductory Management Accounting 
ACCT,2302,002,3,10,1,9,9,5,9,3,2,,,,1,,,,,3,"Goodrich, Mary Beth W","Parupati, Sunil K",,,,,goodrich,mary beth goodrich,Introductory Management Accounting 
ACCT,2302,003,10,14,9,7,6,5,4,1,2,,1,,1,,,,,0,"Pinto, Jedson P","Chen, Hangu",,,,,jpp200002,jedson pinto,Introductory Management Accounting 
ACCT,2302,004,10,16,11,7,7,4,2,2,1,,,,,,,,,0,"Pinto, Jedson P","Chen, Hangu",,,,,jpp200002,jedson pinto,Introductory Management Accounting 
ACCT,2302,005,7,8,6,9,5,6,6,1,2,5,1,,3,,,,,0,"Sinha, Kirti","Song, Dongye",,,,,kxs190050,kirti sinha,Introductory Management Accounting 
ACCT,2302,006,12,8,3,9,6,5,8,1,1,3,2,,1,,,,,0,"Sinha, Kirti","Song, Dongye",,,,,kxs190050,kirti sinha,Introductory Management Accounting 
ACCT,2302,007,11,5,7,7,6,6,5,5,7,,1,,,,,,,0,"Sinha, Kirti","Song, Dongye",,,,,kxs190050,kirti sinha,Introductory Management Accounting 
ACCT,2302,008,,5,10,,6,4,,2,3,,1,,9,,,,,6,"Dai, Zhonglan","Liu, Ruichao",,,,,zxd051000,zhonglan dai,Introductory Management Accounting 
ACCT,2302,009,4,5,7,5,11,,5,7,4,,1,1,4,,,,,4,"Dai, Zhonglan","Liu, Ruichao",,,,,zxd051000,zhonglan dai,Introductory Management Accounting 
ACCT,2302,501,7,8,5,11,15,6,2,2,1,1,,1,,,,,,1,"Pinto, Jedson P","Chen, Hangu",,,,,jpp200002,jedson pinto,Introductory Management Accounting 
ACCT,3101,PPA,,,,,,,,,,,,,,,56,1,,1,"Bortz, Tiffany A","Stone, Bailey K",,,,,tabortz,tiffany bortz,
ACCT,3322,001,,11,1,1,4,1,1,1,,,,,2,,,,,2,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich,Integrated Accounting Information Systems 
