Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,2301,1,7,4,7,4,7,13,9,5,3,1,,,5,,,,,2,"Zhang, Jieying","Zhang, Yang",,,,,jxz146230,jieying zhang,Introductory Financial Accounting 
ACCT,2301,2,6,8,12,4,8,7,9,5,1,2,,,3,,,,,2,"Zhang, Jieying","Zhang, Yang",,,,,jxz146230,jieying zhang,Introductory Financial Accounting 
ACCT,2301,3,5,16,3,8,3,8,6,3,6,4,,,1,,,,,4,"Zhang, Jieying","Zhang, Yang",,,,,jxz146230,jieying zhang,Introductory Financial Accounting 
ACCT,2301,4,,14,10,16,8,4,3,2,1,1,1,,1,,,,,6,"Ozel, Naim Bugra","Gu, Dongdi",,,,,nbo150030,naim ozel,Introductory Financial Accounting 
ACCT,2301,5,2,19,11,14,6,7,,1,2,,1,1,1,,,,,2,"Ozel, Naim Bugra","Gu, Dongdi",,,,,nbo150030,naim ozel,Introductory Financial Accounting 
ACCT,2301,6,2,14,8,13,10,8,,2,2,,1,1,2,,,,,4,"Ozel, Naim Bugra","Gu, Dongdi",,,,,nbo150030,naim ozel,Introductory Financial Accounting 
ACCT,2301,501,8,5,3,6,5,8,5,7,5,,6,1,7,,,,,2,"Zhou, Yibin","Yayvak, Berk",,,,,yxz066000,yibin zhou,Introductory Financial Accounting 
ACCT,2302,6,6,11,1,3,9,4,1,9,3,3,2,1,5,,,,,2,"Dai, Zhonglan","Zhou, Junfei",,,,,zxd051000,zhonglan dai,Introductory Management Accounting 
ACCT,2302,1,5,13,10,15,7,6,4,1,5,1,,1,,,,,,0,"Pereira Pinto, Jedson","Kim, Jongha",,,,,jpp200002,jedson pinto,Introductory Management Accounting 
ACCT,2302,2,2,5,14,9,11,11,4,4,3,1,2,1,1,,,,,0,"Pereira Pinto, Jedson","Kim, Jongha",,,,,jpp200002,jedson pinto,Introductory Management Accounting 
