Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,2301,001,10,9,5,,3,5,4,2,2,2,1,8,6,,,,2,,"Kobilov, Botir","Kwon, Yeongmin",,,,,bxk240018,botir kobilov,Introductory Financial Accounting 
ACCT,2301,002,12,5,11,2,,,2,,1,2,,,3,,,,1,,"Kim, Jongha",,,,,,jxk210084,jongha kim,Introductory Financial Accounting 
ACCT,2301,003,16,7,4,4,5,,2,1,,,,1,,,,,,,"Kim, Jongha",,,,,,jxk210084,jongha kim,Introductory Financial Accounting 
ACCT,2301,004,5,6,4,6,5,3,2,1,,,2,1,1,,,,3,,"Ai, Lanru",,,,,,lxa200024,lanru ai,Introductory Financial Accounting 
ACCT,2301,005,3,5,8,11,7,10,,11,,,3,,1,,,,1,,"Loumioti, Maria","Tazhibayev, Galymzhan",,,,,mxl175830,maria loumioti,Introductory Financial Accounting 
ACCT,2301,006,15,8,6,11,5,6,6,4,,4,1,1,,,,,,,"Huang, Junfan","Vedala, Meghana Sri",,,,,jxh230025,junfan huang,Introductory Financial Accounting 
ACCT,2301,007,3,4,4,17,7,8,,11,,,2,,1,,,,3,,"Loumioti, Maria","Tazhibayev, Galymzhan",,,,,mxl175830,maria loumioti,Introductory Financial Accounting 
ACCT,2301,008,15,12,6,14,4,3,5,1,,4,,1,1,,,,2,,"Huang, Junfan","Vedala, Meghana Sri",,,,,jxh230025,junfan huang,Introductory Financial Accounting 
ACCT,2301,009,8,8,3,7,7,5,12,5,1,2,2,1,2,,,,4,,"Siano, Federico","Han, Zhe",,,,,fxs220013,federico siano,Introductory Financial Accounting 
ACCT,2301,010,4,8,7,13,5,12,,5,,,1,,,,,,5,,"Loumioti, Maria","Tazhibayev, Galymzhan",,,,,mxl175830,maria loumioti,Introductory Financial Accounting 
ACCT,2301,011,6,3,9,12,7,11,7,2,4,1,1,,3,,,,2,,"Siano, Federico","Han, Zhe",,,,,fxs220013,federico siano,Introductory Financial Accounting 
ACCT,2301,012,14,2,4,14,10,3,5,2,3,2,2,,4,,,,2,,"Huang, Junfan","Vedala, Meghana Sri",,,,,jxh230025,junfan huang,Introductory Financial Accounting 
ACCT,2301,013,15,2,5,10,5,6,7,5,3,1,1,2,3,,,,3,,"Kobilov, Botir","Kwon, Yeongmin",,,,,bxk240018,botir kobilov,Introductory Financial Accounting 
