Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,2302,5U1,1,8,,2,6,,,5,,2,3,,2,,1,,,,"Zolton, Kathy","Johnson, Jennifer G","Tazhibayev, Galymzhan",,,,kxz121730,kathy zolton,Introductory Management Accounting 
ACCT,3312,5U1,6,10,9,17,5,2,2,5,3,1,,1,1,,,,,,"Johnson, Jennifer G","Tazhibayev, Galymzhan",,,,,jxj091000,jennifer johnson,Fundamentals of Accounting Analytics 
ACCT,3331,5U1,3,1,1,2,2,5,4,2,,2,,,,,,,,,"Zhou, Yibin","Shivaani, MV",,,,,yxz066000,yibin zhou,Intermediate Financial Accounting I 
ACCT,3350,5U1,,3,7,7,10,7,3,,,,,,,,,,,,"Frost, Sandra M","Tazhibayev, Galymzhan",,,,,sms151730,sandra frost,Fundamentals of Taxation 
ACCT,4334,5U1,,4,2,2,4,2,3,1,,,,,,,,,,,"Paske, Matthew A",,,,,,map055000,,Auditing 
ACCT,6202,0W1,,9,19,8,8,5,1,1,,,,,3,,,,,,"Janakiraman, Surya N","Ai, Lanru",,,,,suryaj,surya janakiraman,Accounting for Managerial Decision Making and Control 
ACCT,6301,5U1,,1,4,2,2,5,3,,,,,,,,,,,,"Ballew, Gregory","Kwon, Yeongmin",,,,,geb011100,gregory ballew,Financial Accounting 
ACCT,6305,0W1,,2,3,3,5,2,,,,,,,,,,,,,"Janakiraman, Surya N","Ai, Lanru",,,,,suryaj,surya janakiraman,Accounting for Managers 
ACCT,6330,0W1,,3,,,7,,,4,,,,,4,,,,,,"Cready, William M","Kwon, Yeongmin",,,,,wmc041000,william cready,Intermediate Financial Accounting I 
ACCT,6338,0W1,,12,2,3,6,4,,1,,,,,1,,,,1,,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich,Advanced Accounting Systems Integration and Configuration 
ACCT,6341,0W1,,27,2,,6,,3,1,,,,,1,,,,,,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich,Planning  Control and Performance Evaluation 
ACCT,6344,0W1,,7,8,8,9,2,,,,,,,1,,,,,,"Gurun, Umit G","Shivaani, MV","Yayvak, Berk",,,,ugg041000,umit gurun,Financial Statement Analysis 
ACCT,6353,PPA,,9,13,7,8,,,,,,,,,,,,,,"Solcher, Steven J","Chen, Hangu",,,,,sjs107020,steven solcher,
ACCT,6365,5U1,,1,6,7,2,2,,1,,,,,,,,,,,"Cheng, Samuel",,,,,,sxc109021,samuel cheng,Governmental and Not-For-Profit Accounting 
ACCT,6367,5U1,,25,9,6,9,2,2,,,,,,,,,,,,"Frost, Sandra M","Hanna, Dave T","Tazhibayev, Galymzhan",,,,sms151730,sandra frost,Multijurisdictional Taxation 
ACCT,6374,5W1,,47,4,1,,,,,,,,,,,,,,,"Kromer, Jeffrey R","Yayvak, Berk",,,,,jrk013000,jeffrey kromer,Advanced Data Analytics for Accountants and Auditors 
ACCT,6377,5U1,,50,11,5,2,,,,,,,,,,,,,,"Ballew, Gregory","Kwon, Yeongmin",,,,,geb011100,gregory ballew,Corporate Governance 
ACCT,6392,5U1,,41,29,3,1,,,,,,,,,,,,,,"Hes, Christopher","Chen, Hangu",,,,,cah041000,christopher hess,Advanced Auditing 
ACCT,6394,XU1,,18,,,,,,,,,,,,,,,,,"McNulty, Diane S","Hemmig, Ray",,,,,dmcnulty,diane mcnulty,
ACN,7372,0W1,,14,1,2,,,,,,,,,,,,,,,"Jahangiri, Faisal R",,,,,,frj190000,faisal jahangiri,Seminar in Neuroscience 
AHST,2331,051,1,2,9,1,1,1,,,,,,,,,,,,,"Rosen, Mark S",,,,,,mxr088000,mark rosen,Understanding Art  (3 Semester Credit Hours)
AMS,2300,051,9,7,1,,,,,,,,,,,,,,,,"Lusk, Marc L",,,,,,mxl121730,marc lusk,American Popular Culture 
AMS,2300,091,5,2,3,4,,,,1,,,,,1,,,,,,"Hammonds, Kyle",,,,,,kxh230016,kyle hammonds,American Popular Culture 
AMS,3316,0W1,13,6,2,,1,,,,,,,1,2,,,,,,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Interpersonal Communication 
AMS,4379,0W2,5,3,1,,,1,,1,,,,,,,,,,,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Special Topics in American Studies 
ANGM,2309,0W1,1,,4,4,5,2,3,4,,,2,,2,,,,,,"Fechter, Todd A",,,,,,taf051000,todd fechter,Drawing for Animation 
ANGM,2310,0W1,6,3,,3,4,2,,2,,,,,1,,,,2,,"Salter, Monika M",,,,,,mxs176131,monika salter,Animation and Game Fundamentals 
ANGM,3307,0U1,1,3,8,4,,2,,2,,1,,,2,,,,1,,"McCord, Peter A",,,,,,pam062000,peter mccord,Lighting and Composition I 
ANGM,3308,0U1,,10,1,3,2,2,,,,,1,,4,,,,,,"Carey, Joshua S",,,,,,dal540711,joshua carey,Rigging I 
ANGM,3320,091,2,1,9,1,1,1,1,2,,,,,1,,,,,,"Salter, Monika M",,,,,,mxs176131,monika salter,Stop Motion Animation 
ANGM,3321,0S1,,15,,,,,,,,,,,,,,,,,"McComber, Sean J",,,,,,sxm129130,sean mccomber,Life Drawing 
ANGM,3338,0W1,2,5,10,2,3,1,2,,1,,,,4,,,,,,"Griffin, Troy",,,,,,txg121730,troy griffin,Motion Design I 
ANGM,3367,0U1,,2,4,3,1,,1,1,,,,,1,,,,1,,"Villegas, Randall V",,,,,,rvv150130,,Level Design I 
