Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
AHST,2331,0s1,,,,,,,,,,,,,,,,,,,Mark Rosen,,,,,,mxr088000,mark rosen,Understanding Art  - Italy
ANGM,2303,001,,,,,,,,,,,,,,,,,,,Joanna Cade,,,,,,dal636079,,Project Management for Arts  Technology  and Emerging Communication I
ANGM,3304,002,,,,,,,,,,,,,,,,,,,Frederick Gardner,,,,,,fxg230003,frederick gardner,Character Design
ANGM,3306,002,,,,,,,,,,,,,,,,,,,Joshua Carey,,,,,,dal540711,joshua carey,Modeling and Texturing I
ANGM,3315,001,,,,,,,,,,,,,,,,,,,Monika Salter,,,,,,mxs176131,monika salter,Animation Studies
ANGM,3315,0s1,,,,,,,,,,,,,,,,,,,Christine Veras,,,,,,cxv180000,christine veras,Animation Studies  - United Kingdom
ANGM,3338,001,,,,,,,,,,,,,,,,,,,Troy Griffin,,,,,,txg121730,troy griffin,Motion Design I
ANGM,3368,001,,,,,,,,,,,,,,,,,,,Jack Murray,,,,,,jam130530,jack murray,Scripting for Games I
ANGM,3370,001,,,,,,,,,,,,,,,,,,,Alrisha Obuobi,,,,,,sxo170530,alrisha obuobi,Virtual Environments I
ANGM,4306,001,,,,,,,,,,,,,,,,,,,Singkham Khamnouane,,,,,,ssk013000,singkham khamnouane,Modeling and Texturing II
ANGM,4315,001,,,,,,,,,,,,,,,,,,,Bryon Caldwell,,,,,,bac190003,bryon caldwell,Computer Animation III
ANGM,4338,0s1,,,,,,,,,,,,,,,,,,,Eric Farrar,,,,,,etf091000,eric farrar,Motion Design II  - France
ANGM,4365,001,,,,,,,,,,,,,,,,,,,Timothy Christopher,,,,,,khimbar,timothy christopher,Game Design II
ANGM,6341,001,,,,,,,,,,,,,,,,,,,Randall Villegas,,,,,,rvv150130,,Game Production Studio
ARHM,4v99,0s1,,,,,,,,,,,,,,,,,,,Jonathan Palant,,,,,,jxp170230,jonathan palant,Art  Humanities  and Culture  - Sing and Study in South Africa
ARTS,2316,002,,,,,,,,,,,,,,,,,,,Oluwadare   (Dare) Akinwole,,,,,,oxa220001,,Painting Foundations
ARTS,2350,002,,,,,,,,,,,,,,,,,,,Sheryl Anaya,,,,,,dal526542,sheryl anaya,Photography  Design
ARTS,3368,001,,,,,,,,,,,,,,,,,,,Marcela Reyes,,,,,,mxr116430,marcela reyes,Mixed Media
ARTS,3377,0h1,,,,,,,,,,,,,,,,,,,Marcy Palmer,,,,,,mxp070100,marcy palmer,Photography  Altered Image
ARTS,4366,001,,,,,,,,,,,,,,,,,,,Brynn Higgins-Stirrup,,,,,,bxh230012,brynn higgins stirrup,Advanced Drawing
ATCM,2322,201,,,,,,,,,,,,,,,,,,,Hong An Wu,Sunday Ayodabo,,,,,hxw173930,hong wu,Media Histories
ATCM,2322,202,,,,,,,,,,,,,,,,,,,Hong An Wu,Sunday Ayodabo,,,,,hxw173930,hong wu,Media Histories
ATCM,2330,001,,,,,,,,,,,,,,,,,,,Heidi Cooley,,,,,,hxc176430,heidi cooley,Digital Art and Social Practice
ATCM,2345,001,,,,,,,,,,,,,,,,,,,Harold Fitzgerald,,,,,,hxf170830,hal fitzgerald,Introduction to Audio Production
ATCM,2350,002,,,,,,,,,,,,,,,,,,,Baotran Vo,,,,,,bnv230000,baotran vo,Time-Based Media
ATCM,4397,004,,,,,,,,,,,,,,,,,,,Isi Barreiro,,,,,,ijg190000,isi gonzalez,Senior Seminar
ATCM,4397,0w2,,,,,,,,,,,,,,,,,,,Troy Griffin,,,,,,txg121730,troy griffin,Senior Seminar
COMM,1315,0h2,,,,,,,,,,,,,,,,,,,Natalie Farr,,,,,,dal751884,,Public Speaking
COMM,1315,0h3,,,,,,,,,,,,,,,,,,,Mike Bromberg,,,,,,mxb210046,mike bromberg,Public Speaking
COMM,1315,0h4,,,,,,,,,,,,,,,,,,,Natalie Farr,,,,,,dal751884,,Public Speaking
FILM,3321,001,,,,,,,,,,,,,,,,,,,Adrienne McLean,,,,,,amclean,adrienne mclean,Film in Historical Context  - Costume Makeup Hair in Cinema
HIST,1301,202,,,,,,,,,,,,,,,,,,,Jeffrey Schulze,,,,,,jxs072200,jeffrey schulze,U S  History Survey to Civil War
HIST,1301,203,,,,,,,,,,,,,,,,,,,Jeffrey Schulze,,,,,,jxs072200,jeffrey schulze,U S  History Survey to Civil War
HIST,1301,204,,,,,,,,,,,,,,,,,,,Jeffrey Schulze,,,,,,jxs072200,jeffrey schulze,U S  History Survey to Civil War
HIST,1301,205,,,,,,,,,,,,,,,,,,,Jeffrey Schulze,,,,,,jxs072200,jeffrey schulze,U S  History Survey to Civil War
